permutation,null_clock_median_lambda
171,0.4748
172,0.5942
173,0.5440
174,0.4732
175,0.5399
176,0.4576
177,0.4131
178,0.5029
179,0.4632
180,0.5667
181,0.5274
182,0.5432
183,0.4260
184,0.4556
185,0.5614
186,0.5513
187,0.4012
188,0.5696
189,0.6251
190,0.4816
191,0.5189
192,0.5635
193,0.5303
194,0.5295
195,0.4500
196,0.4556
197,0.4434
198,0.4626
199,0.4873
200,0.4405
201,0.4768
202,0.4683
203,0.4903
204,0.5440
205,0.5562
206,0.5290
207,0.4858
208,0.5414
209,0.5174
210,0.4565
211,0.4537
212,0.4645
213,0.4567
214,0.5481
215,0.3773
216,0.5398
217,0.4459
218,0.5699
219,0.5039
220,0.3337
221,0.4894
222,0.4589
223,0.4755
224,0.6037
225,0.5666
226,0.4092
227,0.5925
228,0.5645
229,0.5464
230,0.4736
231,0.4062
232,0.5784
233,0.3769
234,0.4293
235,0.5905
236,0.5594
237,0.4335
238,0.5782
239,0.5201
240,0.5997
241,0.5477
242,0.4456
243,0.4514
244,0.4700
245,0.5256
246,0.4370
247,0.6587
248,0.4288
249,0.4843
250,0.5104
251,0.3676
252,0.5653
253,0.5305
254,0.4989
255,0.5081
256,0.5633
257,0.5438
258,0.5087
259,0.4706
260,0.5042
261,0.5139
262,0.5417
263,0.4622
264,0.5069
265,0.5630
266,0.3879
267,0.4178
268,0.4378
269,0.4747
270,0.5113
271,0.4593
272,0.4681
273,0.5626
274,0.4557
275,0.5396
276,0.4455
277,0.4292
278,0.5074
279,0.5459
280,0.4778
281,0.6385
282,0.4538
283,0.4937
284,0.6366
285,0.5468
286,0.5172
287,0.4685
288,0.4757
289,0.5525
290,0.4985
291,0.5881
292,0.4511
293,0.4172
294,0.5081
295,0.5025
296,0.5272
297,0.3967
298,0.4642
299,0.4919
300,0.4476
301,0.4577
302,0.4667
303,0.5147
304,0.5026
305,0.5165
306,0.5405
307,0.5721
308,0.5211
309,0.4819
310,0.6164
311,0.5025
312,0.5328
313,0.5215
314,0.5579
315,0.5297
316,0.5401
317,0.4506
318,0.4569
319,0.5566
320,0.3950
321,0.4229
322,0.5320
323,0.4738
324,0.4084
325,0.5371
326,0.4303
327,0.5348
328,0.4940
329,0.5412
330,0.5459
331,0.4707
332,0.4472
333,0.3903
334,0.4635
335,0.4976
336,0.5889
337,0.3970
338,0.5588
339,0.4708
340,0.4941
341,0.5539
342,0.5034
343,0.4641
344,0.5197
345,0.4415
346,0.5197
347,0.5290
348,0.5510
349,0.4470
350,0.5246
351,0.5175
352,0.4822
353,0.6237
354,0.5088
355,0.4537
356,0.4503
357,0.5187
358,0.4563
359,0.4668
360,0.5080
361,0.6249
362,0.5169
363,0.5329
364,0.5072
365,0.5286
366,0.5256
367,0.4240
368,0.5282
369,0.4325
370,0.5124
371,0.6301
372,0.4820
373,0.5192
374,0.6135
375,0.4293
376,0.5142
377,0.4435
378,0.5137
379,0.5043
380,0.5528
381,0.5201
382,0.5534
383,0.5164
384,0.4970
385,0.4715
386,0.5094
387,0.4283
388,0.5463
389,0.5030
390,0.4939
391,0.6115
392,0.4969
393,0.3975
394,0.3555
395,0.6263
396,0.5537
397,0.5652
398,0.4975
399,0.4873
400,0.4614
401,0.4024
402,0.5520
403,0.4413
404,0.5420
405,0.5654
406,0.5236
407,0.5085
408,0.4450
409,0.5150
410,0.3967
411,0.4735
412,0.4098
413,0.5430
414,0.5695
415,0.5236
416,0.4673
417,0.4768
418,0.5221
419,0.5027
420,0.5519
421,0.5010
422,0.4099
423,0.4633
424,0.4748
425,0.4088
426,0.4567
427,0.4245
428,0.5453
429,0.4614
430,0.4375
431,0.5478
432,0.4791
433,0.5481
434,0.5272
435,0.5118
436,0.4618
437,0.5661
438,0.4771
439,0.5312
440,0.4994
441,0.5677
442,0.5074
443,0.4613
444,0.4673
445,0.4920
446,0.4975
447,0.5466
448,0.4890
449,0.5349
450,0.5502
451,0.4935
452,0.5212
453,0.5299
454,0.5030
455,0.5892
456,0.5100
457,0.5518
458,0.4858
459,0.3538
460,0.4716
461,0.5375
462,0.4532
463,0.5559
464,0.4316
465,0.5340
466,0.5218
467,0.5078
468,0.4943
469,0.4926
470,0.4497
471,0.5206
472,0.4924
473,0.5415
474,0.5366
475,0.4305
476,0.6019
477,0.5161
478,0.5035
479,0.5368
480,0.5542
481,0.4934
482,0.5217
483,0.5302
484,0.5936
485,0.4940
486,0.5222
487,0.5783
488,0.4387
489,0.5531
490,0.5938
491,0.5087
492,0.3561
493,0.4212
494,0.5544
495,0.5288
496,0.4627
497,0.5317
498,0.4789
499,0.5007
500,0.5412
501,0.5467
502,0.4502
503,0.5068
504,0.5144
505,0.3838
506,0.5690
507,0.5056
508,0.5708
509,0.4295
510,0.5058
511,0.5319
512,0.5271
513,0.5550
514,0.4810
515,0.4899
516,0.4410
517,0.3650
518,0.5515
519,0.6121
520,0.5214
521,0.4766
522,0.4145
523,0.5034
524,0.4768
525,0.5663
526,0.5567
527,0.4730
528,0.5250
529,0.4783
530,0.5181
531,0.4675
532,0.4241
533,0.4666
534,0.4473
535,0.4858
536,0.4462
537,0.4703
538,0.4380
539,0.5134
540,0.4925
541,0.5635
542,0.4750
543,0.4833
544,0.4022
545,0.5363
546,0.3790
547,0.4379
548,0.4575
549,0.5566
550,0.4817
551,0.4979
552,0.5944
553,0.5753
554,0.5019
555,0.3098
556,0.5549
557,0.5050
558,0.4428
559,0.4642
560,0.5045
561,0.5145
562,0.5443
563,0.4408
564,0.5158
565,0.4974
566,0.4471
567,0.5340
568,0.4528
569,0.6340
570,0.5159
571,0.5504
572,0.5688
573,0.5225
574,0.5907
575,0.4759
576,0.4644
577,0.6160
578,0.5037
579,0.5653
580,0.4474
581,0.4894
582,0.4355
583,0.5228
584,0.5236
585,0.5066
586,0.5001
587,0.5619
588,0.5691
589,0.4440
590,0.5575
591,0.4712
592,0.4977
593,0.4731
594,0.4674
595,0.5478
596,0.4312
597,0.5138
598,0.5565
599,0.4627
600,0.4833
601,0.5785
602,0.5387
603,0.5731
604,0.4804
605,0.4926
606,0.4155
607,0.4700
608,0.4885
609,0.5065
610,0.5070
611,0.5423
612,0.4502
613,0.4595
614,0.5084
615,0.4588
616,0.4360
617,0.5604
618,0.5371
619,0.4753
620,0.5796
621,0.4977
622,0.5447
623,0.5007
624,0.4513
625,0.4791
626,0.4954
627,0.5151
628,0.4990
629,0.5444
630,0.3982
631,0.4753
632,0.5239
633,0.4620
634,0.4306
635,0.4849
636,0.5090
637,0.5874
638,0.4007
639,0.4377
640,0.4938
641,0.4687
642,0.4395
643,0.4768
644,0.4978
645,0.4372
646,0.4335
647,0.5905
648,0.5336
649,0.4778
650,0.3229
651,0.4017
652,0.5187
653,0.4964
654,0.5532
655,0.4765
656,0.4816
657,0.4609
658,0.4660
659,0.4904
660,0.5676
661,0.4165
662,0.4600
663,0.5145
664,0.4701
665,0.4999
666,0.5670
667,0.5704
668,0.5447
669,0.4682
670,0.5493
671,0.4250
672,0.3987
673,0.4970
674,0.4911
675,0.3986
676,0.4961
677,0.5431
678,0.6116
679,0.5685
680,0.3542
681,0.5274
682,0.4617
683,0.4534
684,0.4511
685,0.5061
686,0.5397
687,0.5227
688,0.5474
689,0.4965
690,0.5444
691,0.4903
692,0.5487
693,0.4874
694,0.4170
695,0.6244
696,0.5411
697,0.4541
698,0.5374
699,0.4078
700,0.4209
701,0.4947
702,0.6207
703,0.4589
704,0.5866
705,0.4753
706,0.4336
707,0.5237
708,0.4888
709,0.4373
710,0.4135
711,0.5551
712,0.5133
713,0.4898
714,0.5069
715,0.3969
716,0.4664
717,0.4116
718,0.4642
719,0.5637
720,0.4227
721,0.5647
722,0.5186
723,0.4830
724,0.4491
725,0.5286
726,0.5413
727,0.4211
728,0.5730
729,0.5000
730,0.5504
731,0.4466
732,0.5407
733,0.3866
734,0.4435
735,0.4650
736,0.4824
737,0.4324
738,0.5489
739,0.5599
740,0.5503
741,0.4533
742,0.5747
743,0.4209
744,0.5527
745,0.5287
746,0.4612
747,0.4631
748,0.4407
749,0.4278
750,0.5518
751,0.4971
752,0.6124
753,0.4949
754,0.5387
755,0.5671
756,0.4692
757,0.4270
758,0.3973
759,0.5674
760,0.5286
761,0.5374
762,0.4105
763,0.4205
764,0.4524
765,0.5419
766,0.5145
767,0.5632
768,0.4699
769,0.4739
770,0.4834
771,0.4617
772,0.5389
773,0.5321
774,0.5355
775,0.4723
776,0.4441
777,0.5099
778,0.4416
779,0.4350
780,0.4780
781,0.4238
782,0.4400
783,0.5116
784,0.3952
785,0.5725
786,0.5056
787,0.4980
788,0.4858
789,0.4531
790,0.5039
791,0.5155
792,0.5956
793,0.4849
794,0.5466
795,0.5565
796,0.5209
797,0.5043
798,0.5271
799,0.5690
800,0.4397
801,0.5507
802,0.5338
803,0.5232
804,0.5122
805,0.5165
806,0.4351
807,0.5595
808,0.4911
809,0.3719
810,0.4974
811,0.5276
812,0.4708
813,0.4934
814,0.4251
815,0.3554
816,0.5022
817,0.3758
818,0.4135
819,0.4933
820,0.4894
821,0.4879
822,0.5504
823,0.5874
824,0.4895
825,0.5605
826,0.5525
827,0.5708
828,0.5037
829,0.4511
830,0.4678
831,0.5469
832,0.4056
833,0.4320
834,0.5418
835,0.4878
836,0.5243
837,0.3853
838,0.4687
839,0.5685
840,0.4945
841,0.4751
842,0.4658
843,0.4511
844,0.5072
845,0.3843
846,0.5367
847,0.4069
848,0.4851
849,0.5201
850,0.5233
851,0.5307
852,0.5098
853,0.4956
854,0.5429
855,0.4396
856,0.4675
857,0.5851
858,0.4151
859,0.5206
860,0.4814
861,0.5463
862,0.5798
863,0.5076
864,0.5784
865,0.4788
866,0.5523
867,0.5948
868,0.3709
869,0.5557
870,0.4832
871,0.4558
872,0.4775
873,0.5271
874,0.4507
875,0.6326
876,0.6119
877,0.4953
878,0.4657
879,0.4323
880,0.4872
881,0.5331
882,0.5473
883,0.5078
884,0.4630
885,0.4772
886,0.4659
887,0.4596
888,0.5643
889,0.4982
890,0.5518
891,0.4960
892,0.4922
893,0.5022
894,0.3056
895,0.3786
896,0.5439
897,0.4970
898,0.4379
899,0.4977
900,0.6030
901,0.5022
902,0.4425
903,0.4316
904,0.4841
905,0.4576
906,0.4030
907,0.4167
908,0.4541
909,0.5070
910,0.4599
911,0.5058
912,0.5587
913,0.4623
914,0.5336
915,0.4162
916,0.4420
917,0.5098
918,0.5007
919,0.5006
920,0.3386
921,0.5285
922,0.4871
923,0.4709
924,0.4602
925,0.5874
926,0.3957
927,0.5217
928,0.5112
929,0.5557
930,0.5693
931,0.4812
932,0.5318
933,0.5630
934,0.5180
935,0.5437
936,0.4416
937,0.4271
938,0.4365
939,0.4467
940,0.5781
941,0.4847
942,0.4689
943,0.5180
944,0.3808
945,0.4309
946,0.4244
947,0.5067
948,0.5338
949,0.5082
950,0.5556
951,0.5615
952,0.5396
953,0.5980
954,0.4459
955,0.5739
956,0.4828
957,0.4465
958,0.5566
959,0.4628
960,0.4049
961,0.4721
962,0.4548
963,0.5147
964,0.5367
965,0.5129
966,0.5674
967,0.6051
968,0.5536
969,0.5340
970,0.5264
971,0.5716
972,0.4125
973,0.5368
974,0.4927
975,0.4326
976,0.5236
977,0.4822
978,0.4697
979,0.6011
980,0.4635
981,0.5260
982,0.4884
983,0.4291
984,0.5184
985,0.5839
986,0.5390
987,0.4414
988,0.4537
989,0.4613
990,0.5373
991,0.5326
992,0.5230
993,0.4769
994,0.4776
995,0.4524
996,0.4315
997,0.4710
998,0.5531
999,0.5253
1000,0.5026
1001,0.5346
1002,0.4839
1003,0.5345
1004,0.4558
1005,0.4651
1006,0.3486
1007,0.4568
1008,0.4996
1009,0.4439
1010,0.4491
1011,0.5072
1012,0.4618
1013,0.4133
1014,0.5170
1015,0.5198
1016,0.6127
1017,0.4729
1018,0.5779
1019,0.4708
1020,0.4032
1021,0.4670
1022,0.5847
1023,0.4617
1024,0.5089
1025,0.4620
1026,0.4084
1027,0.4224
1028,0.4636
1029,0.4728
1030,0.4328
1031,0.5383
1032,0.5336
1033,0.4413
1034,0.5954
1035,0.5954
1036,0.4654
1037,0.5042
1038,0.4985
1039,0.6290
1040,0.4778
1041,0.4903
1042,0.4861
1043,0.4975
1044,0.4390
1045,0.5654
1046,0.5437
1047,0.5105
1048,0.4769
1049,0.4934
1050,0.4971
1051,0.5428
1052,0.4481
1053,0.4655
1054,0.5839
1055,0.4330
1056,0.5415
1057,0.4364
1058,0.5818
1059,0.5004
1060,0.4821
1061,0.4827
1062,0.4496
1063,0.3935
1064,0.5455
1065,0.5520
1066,0.5006
1067,0.5750
1068,0.4470
1069,0.4084
1070,0.4910
1071,0.4556
1072,0.5575
1073,0.4879
1074,0.5323
1075,0.4554
1076,0.6321
1077,0.5900
1078,0.5001
1079,0.4612
1080,0.5287
1081,0.5063
1082,0.4622
1083,0.4480
1084,0.5297
1085,0.3745
1086,0.4402
1087,0.4898
1088,0.4905
1089,0.5049
1090,0.4433
1091,0.4390
1092,0.5829
1093,0.5050
1094,0.4788
1095,0.5956
1096,0.4416
1097,0.5199
1098,0.5493
1099,0.4804
1100,0.4683
1101,0.4863
1102,0.4727
1103,0.5105
1104,0.6113
1105,0.5362
1106,0.3523
1107,0.5670
1108,0.4425
1109,0.4018
1110,0.3501
1111,0.5414
1112,0.5107
1113,0.4332
1114,0.5661
1115,0.5191
1116,0.5803
1117,0.5306
1118,0.4556
1119,0.5107
1120,0.5638
1121,0.5876
1122,0.4790
1123,0.5037
1124,0.4902
1125,0.4959
1126,0.5222
1127,0.5093
1128,0.5209
1129,0.4832
1130,0.5166
1131,0.4930
1132,0.5621
1133,0.4255
1134,0.5366
1135,0.5170
1136,0.4757
1137,0.5049
1138,0.5595
1139,0.5802
1140,0.4617
1141,0.4950
1142,0.4761
1143,0.4808
1144,0.4715
1145,0.6202
1146,0.4656
1147,0.3250
1148,0.5336
1149,0.6058
1150,0.4497
1151,0.5889
1152,0.4749
1153,0.4597
1154,0.4600
1155,0.6076
1156,0.5032
1157,0.4963
1158,0.5246
1159,0.4826
1160,0.3932
1161,0.5636
1162,0.4263
1163,0.5606
1164,0.5117
1165,0.5615
1166,0.4016
1167,0.5757
1168,0.5184
1169,0.3957
1170,0.5938
1171,0.5016
1172,0.5163
1173,0.4822
1174,0.4574
1175,0.5401
1176,0.3373
1177,0.5696
1178,0.5356
1179,0.5474
1180,0.5485
1181,0.4791
1182,0.5590
1183,0.4687
1184,0.4630
1185,0.4444
1186,0.4643
1187,0.5052
1188,0.3482
1189,0.5864
1190,0.4282
1191,0.5342
1192,0.4760
1193,0.4564
1194,0.5545
1195,0.4464
1196,0.5169
1197,0.5198
1198,0.5945
1199,0.4949
1200,0.4021
1201,0.4192
1202,0.5423
1203,0.4855
1204,0.5226
1205,0.4509
1206,0.4817
1207,0.4991
1208,0.3297
1209,0.4597
1210,0.4979
1211,0.5310
1212,0.5173
1213,0.4242
1214,0.5370
1215,0.4567
1216,0.4267
1217,0.6081
1218,0.5039
1219,0.4045
1220,0.5869
1221,0.5213
1222,0.5160
1223,0.4909
1224,0.4869
1225,0.4444
1226,0.6018
1227,0.4843
1228,0.4687
1229,0.4615
1230,0.5538
1231,0.4823
1232,0.4860
1233,0.4775
1234,0.4557
1235,0.5655
1236,0.5314
1237,0.5196
1238,0.5390
1239,0.5837
1240,0.4039
1241,0.5318
1242,0.4731
1243,0.3712
1244,0.5604
1245,0.4336
1246,0.3396
1247,0.4612
1248,0.4803
1249,0.4881
1250,0.4066
1251,0.5233
1252,0.5487
1253,0.4787
1254,0.6279
1255,0.4346
1256,0.5145
1257,0.6494
1258,0.5658
1259,0.5638
1260,0.5620
1261,0.5747
1262,0.5051
1263,0.5786
1264,0.4326
1265,0.5516
1266,0.4407
1267,0.4729
1268,0.4302
1269,0.5339
1270,0.4746
1271,0.4834
1272,0.5008
1273,0.4798
1274,0.5277
1275,0.4375
1276,0.5041
1277,0.5267
1278,0.4491
1279,0.3605
1280,0.4453
1281,0.5178
1282,0.6149
1283,0.4514
1284,0.4650
1285,0.4972
1286,0.5039
1287,0.5294
1288,0.3902
1289,0.5072
1290,0.5074
1291,0.3738
1292,0.4663
1293,0.3936
1294,0.4168
1295,0.4461
1296,0.4349
1297,0.4580
1298,0.4708
1299,0.4489
1300,0.4783
1301,0.5401
1302,0.4803
1303,0.4492
1304,0.4434
1305,0.5033
1306,0.5375
1307,0.6239
1308,0.5037
1309,0.6290
1310,0.4068
1311,0.4621
1312,0.4325
1313,0.5324
1314,0.5059
1315,0.5168
1316,0.5106
1317,0.4025
1318,0.3715
1319,0.4342
1320,0.4127
1321,0.4202
1322,0.5494
1323,0.5646
1324,0.5268
1325,0.4997
1326,0.5778
1327,0.4936
1328,0.4333
1329,0.4664
1330,0.4984
1331,0.5594
1332,0.5460
1333,0.4283
1334,0.5140
1335,0.5439
1336,0.4282
1337,0.4531
1338,0.4849
1339,0.5685
1340,0.5366
1341,0.5477
1342,0.6306
1343,0.5857
1344,0.4050
1345,0.3740
1346,0.6074
1347,0.4926
1348,0.5468
1349,0.4632
1350,0.4653
1351,0.4538
1352,0.4668
1353,0.5040
1354,0.4571
1355,0.4381
1356,0.5386
1357,0.3961
1358,0.4713
1359,0.5481
1360,0.5485
1361,0.4702
1362,0.5269
1363,0.4484
1364,0.4956
1365,0.4856
1366,0.4609
1367,0.5164
1368,0.5320
1369,0.5161
1370,0.3602
1371,0.4809
1372,0.4159
1373,0.5389
1374,0.4748
1375,0.3824
1376,0.5212
1377,0.5004
1378,0.4275
1379,0.4638
1380,0.6156
1381,0.5615
1382,0.4499
1383,0.4636
1384,0.4907
1385,0.5582
1386,0.4868
1387,0.5054
1388,0.4195
1389,0.4455
1390,0.4594
1391,0.4082
1392,0.5031
1393,0.5148
1394,0.3958
1395,0.4096
1396,0.5174
1397,0.4756
1398,0.4833
1399,0.5321
1400,0.4778
1401,0.4774
1402,0.4617
1403,0.4948
1404,0.3937
1405,0.5924
1406,0.4821
1407,0.5803
1408,0.4578
1409,0.5373
1410,0.4591
1411,0.5441
1412,0.4597
1413,0.4688
1414,0.4464
1415,0.5140
1416,0.4764
1417,0.4569
1418,0.4734
1419,0.3952
1420,0.5164
1421,0.4828
1422,0.4022
1423,0.4422
1424,0.5477
1425,0.4508
1426,0.4880
1427,0.4224
1428,0.5603
1429,0.5519
1430,0.5224
1431,0.4709
1432,0.4434
1433,0.4983
1434,0.4425
1435,0.5921
1436,0.4778
1437,0.4869
1438,0.5606
1439,0.5664
1440,0.4750
1441,0.4723
1442,0.4223
1443,0.4578
1444,0.4300
1445,0.4518
1446,0.5636
1447,0.4909
1448,0.5173
1449,0.5617
1450,0.5858
1451,0.4619
1452,0.5439
1453,0.4841
1454,0.4579
1455,0.5312
1456,0.4090
1457,0.4950
1458,0.3473
1459,0.5794
1460,0.5819
1461,0.5071
1462,0.4971
1463,0.4513
1464,0.5710
1465,0.4433
1466,0.3876
1467,0.3901
1468,0.5795
1469,0.5272
1470,0.5613
1471,0.3831
1472,0.5190
1473,0.5422
1474,0.3919
1475,0.4177
1476,0.5082
1477,0.5242
1478,0.3988
1479,0.5534
1480,0.4914
1481,0.4610
1482,0.5470
1483,0.5534
1484,0.5040
1485,0.5064
1486,0.5766
1487,0.4522
1488,0.5273
1489,0.5376
1490,0.5071
1491,0.4962
1492,0.5720
1493,0.5257
1494,0.5049
1495,0.4812
1496,0.4304
1497,0.4672
1498,0.4808
1499,0.4426
1500,0.5040
1501,0.4825
1502,0.5124
1503,0.5526
1504,0.5068
1505,0.5117
1506,0.3465
1507,0.4779
1508,0.4474
1509,0.4847
1510,0.4424
1511,0.5467
1512,0.4656
1513,0.5113
1514,0.5083
1515,0.4052
1516,0.4811
1517,0.4219
1518,0.4751
1519,0.4011
1520,0.5811
1521,0.5146
1522,0.5343
1523,0.4910
1524,0.4494
1525,0.5694
1526,0.4549
1527,0.5670
1528,0.6211
1529,0.4605
1530,0.4801
1531,0.4741
1532,0.5501
1533,0.4679
1534,0.5943
1535,0.4698
1536,0.4980
1537,0.4693
1538,0.4485
1539,0.4907
1540,0.3801
1541,0.3861
1542,0.4850
1543,0.5101
1544,0.4577
1545,0.4767
1546,0.4375
1547,0.5368
1548,0.4677
1549,0.5421
1550,0.5671
1551,0.5403
1552,0.4575
1553,0.4749
1554,0.5606
1555,0.5705
1556,0.4832
1557,0.5053
1558,0.3706
1559,0.3451
1560,0.4694
1561,0.3718
1562,0.4992
1563,0.4804
1564,0.5337
1565,0.4374
1566,0.4394
1567,0.4535
1568,0.5635
1569,0.5144
1570,0.4959
1571,0.3317
1572,0.5498
1573,0.5001
1574,0.4800
1575,0.4137
1576,0.5575
1577,0.5440
1578,0.5586
1579,0.5776
1580,0.5432
1581,0.4370
1582,0.4584
1583,0.4312
1584,0.4850
1585,0.5158
1586,0.6139
1587,0.5248
1588,0.4996
1589,0.5791
1590,0.4616
1591,0.4782
1592,0.6004
1593,0.4219
1594,0.5577
1595,0.5896
1596,0.4324
1597,0.5576
1598,0.4479
1599,0.5580
1600,0.4727
1601,0.5436
1602,0.5076
1603,0.4133
1604,0.4367
1605,0.4770
1606,0.5000
1607,0.4463
1608,0.4578
1609,0.5147
1610,0.5650
1611,0.4841
1612,0.4974
1613,0.5265
1614,0.4477
1615,0.5666
1616,0.5459
1617,0.5985
1618,0.5379
1619,0.3852
1620,0.5356
1621,0.4702
1622,0.5183
1623,0.5457
1624,0.4790
1625,0.6055
1626,0.6524
1627,0.5051
1628,0.5517
1629,0.3812
1630,0.4994
1631,0.5059
1632,0.5015
1633,0.4892
1634,0.4653
1635,0.5629
1636,0.5203
1637,0.5716
1638,0.6034
1639,0.5566
1640,0.4517
1641,0.4905
1642,0.4688
1643,0.5323
1644,0.3912
1645,0.5673
1646,0.5506
1647,0.4928
1648,0.4588
1649,0.4708
1650,0.4995
1651,0.4911
1652,0.4047
1653,0.6384
1654,0.4433
1655,0.5283
1656,0.5905
1657,0.4232
1658,0.5295
1659,0.5164
1660,0.3683
1661,0.5326
1662,0.4908
1663,0.5366
1664,0.4653
1665,0.4552
1666,0.4708
1667,0.4980
1668,0.3705
1669,0.4366
1670,0.5642
1671,0.5536
1672,0.5356
1673,0.3958
1674,0.5518
1675,0.4768
1676,0.4653
1677,0.4823
1678,0.5376
1679,0.4940
1680,0.4902
1681,0.4625
1682,0.4131
1683,0.4748
1684,0.4241
1685,0.5095
1686,0.4322
1687,0.4608
1688,0.5579
1689,0.5419
1690,0.5436
1691,0.5023
1692,0.4858
1693,0.5845
1694,0.5378
1695,0.5242
1696,0.6010
1697,0.4063
1698,0.3281
1699,0.5977
1700,0.4923
1701,0.4324
1702,0.4189
1703,0.4423
1704,0.4486
1705,0.3934
1706,0.5438
1707,0.4917
1708,0.5312
1709,0.4825
1710,0.4638
1711,0.4891
1712,0.4821
1713,0.5245
1714,0.4611
1715,0.4983
1716,0.4025
1717,0.4992
1718,0.5154
1719,0.5337
1720,0.4783
1721,0.4733
1722,0.4491
1723,0.5081
1724,0.5601
1725,0.4596
1726,0.5214
1727,0.4842
1728,0.5690
1729,0.5036
1730,0.4570
1731,0.5057
1732,0.4224
1733,0.4718
1734,0.4819
1735,0.4588
1736,0.5055
1737,0.4184
1738,0.4456
1739,0.4289
1740,0.4422
1741,0.5499
1742,0.4956
1743,0.3818
1744,0.5488
1745,0.5158
1746,0.4741
1747,0.5837
1748,0.4859
1749,0.3768
1750,0.4521
1751,0.4736
1752,0.4261
1753,0.4336
1754,0.5361
1755,0.4879
1756,0.5744
1757,0.5501
1758,0.4634
1759,0.5102
1760,0.5506
1761,0.4272
1762,0.3746
1763,0.5163
1764,0.5835
1765,0.3990
1766,0.5221
1767,0.4739
1768,0.5280
1769,0.4679
1770,0.4693
1771,0.5349
1772,0.5183
1773,0.5352
1774,0.4929
1775,0.5557
1776,0.5283
1777,0.5319
1778,0.5826
1779,0.4844
1780,0.4686
1781,0.4869
1782,0.4068
1783,0.5388
1784,0.4005
1785,0.4539
1786,0.3862
1787,0.6181
1788,0.4762
1789,0.5130
1790,0.5210
1791,0.4263
1792,0.5016
1793,0.4545
1794,0.4667
1795,0.5489
1796,0.5030
1797,0.5181
1798,0.4200
1799,0.5626
1800,0.6058
1801,0.4735
1802,0.4749
1803,0.4573
1804,0.5940
1805,0.4348
1806,0.5549
1807,0.4892
1808,0.3891
1809,0.3966
1810,0.5793
1811,0.5270
1812,0.4813
1813,0.4008
1814,0.6145
1815,0.4082
1816,0.5914
1817,0.4354
1818,0.3534
1819,0.3993
1820,0.3835
1821,0.4711
1822,0.5871
1823,0.4232
1824,0.4578
1825,0.5685
1826,0.4924
1827,0.4411
1828,0.3690
1829,0.5155
1830,0.5154
1831,0.4673
1832,0.5477
1833,0.5668
1834,0.4516
1835,0.5423
1836,0.5165
1837,0.5373
1838,0.5112
1839,0.5026
1840,0.6081
1841,0.5258
1842,0.5172
1843,0.6089
1844,0.5462
1845,0.5584
1846,0.4391
1847,0.5229
1848,0.5338
1849,0.4420
1850,0.5401
1851,0.4078
1852,0.4545
1853,0.4363
1854,0.5744
1855,0.4927
1856,0.5849
1857,0.4598
1858,0.3814
1859,0.5791
1860,0.4881
1861,0.5032
1862,0.5653
1863,0.5336
1864,0.5164
1865,0.5867
1866,0.4885
1867,0.5178
1868,0.4904
1869,0.3621
1870,0.4726
1871,0.5039
